80.76.33.4:8443#DE [153.02ms | 0.0Mbps]
94.159.98.23:2053#DE [154.81ms | 0.0Mbps]
94.159.100.154:443#DE [156.79ms | 0.0Mbps]
152.53.224.23:8443#DE [156.84ms | 0.0Mbps]
94.159.99.172:443#DE [160.7ms | 0.0Mbps]
51.77.140.9:2053#FR [160.46ms | 0.0Mbps]
51.77.140.38:8443#FR [167.26ms | 0.0Mbps]
46.8.225.124:443#FR [170.33ms | 0.0Mbps]
51.77.213.238:2053#FR [170.39ms | 0.0Mbps]
146.59.228.153:2053#FR [170.7ms | 0.0Mbps]
103.43.191.121:8443#HK [65.05ms | 0.0Mbps]
8.210.29.68:443#HK [72.3ms | 0.0Mbps]
47.76.218.163:443#HK [155.01ms | 0.0Mbps]
103.39.78.118:8443#HK [253.04ms | 0.0Mbps]
154.3.32.164:8443#HK [289.53ms | 0.0Mbps]
13.235.254.54:443#IN [优选高速 138.28ms | 28.82Mbps]
52.66.200.252:443#IN [优选高速 199.37ms | 25.17Mbps]
139.84.166.44:443#IN [195.08ms | 0.0Mbps]
98.70.26.236:443#IN [233.56ms | 0.0Mbps]
80.225.220.55:443#IN [348.58ms | 0.0Mbps]
154.31.117.17:443#JP [优选高速 30.01ms | 98.34Mbps]
154.19.187.39:443#JP [优选高速 58.83ms | 19.77Mbps]
154.36.187.205:8443#JP [34.17ms | 8.36Mbps]
154.83.93.93:443#JP [77.06ms | 0.0Mbps]
153.121.45.101:443#JP [87.39ms | 0.0Mbps]
158.180.71.69:443#KR [优选高速 243.51ms | 17.4Mbps]
152.67.210.234:443#KR [56.12ms | 0.0Mbps]
119.28.162.39:8443#KR [176.99ms | 0.0Mbps]
118.218.10.159:443#KR [183.02ms | 9.47Mbps]
123.111.169.70:443#KR [198.72ms | 0.0Mbps]
96.126.190.196:443#MY [185.1ms | 0.0Mbps]
47.250.212.59:443#MY [319.74ms | 0.0Mbps]
47.250.212.59:2053#MY [321.64ms | 0.0Mbps]
47.250.81.46:2087#MY [332.23ms | 0.0Mbps]
178.173.254.136:443#NL [152.44ms | 0.0Mbps]
46.30.46.114:2053#NL [154.35ms | 0.0Mbps]
178.173.252.233:443#NL [154.97ms | 0.0Mbps]
178.208.66.185:8443#NL [155.83ms | 0.0Mbps]
178.173.255.130:443#NL [159.71ms | 0.0Mbps]
147.45.147.212:2053#RU [194.84ms | 0.0Mbps]
147.45.147.212:8443#RU [201.15ms | 0.0Mbps]
95.46.1.22:8443#RU [201.96ms | 0.0Mbps]
178.208.156.194:2053#RU [211.96ms | 0.0Mbps]
91.107.127.99:2053#RU [219.13ms | 0.0Mbps]
188.166.245.164:443#SG [241.28ms | 0.0Mbps]
165.245.178.114:443#SG [242.46ms | 0.0Mbps]
139.59.250.249:443#SG [244.88ms | 0.0Mbps]
188.166.217.179:443#SG [249.35ms | 0.0Mbps]
178.128.86.3:443#SG [249.74ms | 0.0Mbps]
103.137.63.227:8443#TW [70.49ms | 0.0Mbps]
103.115.108.45:443#TW [251.33ms | 0.0Mbps]
151.242.189.137:443#TW [482.08ms | 0.0Mbps]
154.21.89.103:8443#US [优选高速 131.76ms | 25.7Mbps]
154.64.235.157:443#US [优选高速 133.58ms | 24.88Mbps]
154.26.189.70:443#US [优选高速 135.04ms | 24.62Mbps]
154.21.87.223:443#US [优选高速 135.77ms | 24.03Mbps]
154.17.26.88:443#US [优选高速 135.96ms | 24.71Mbps]
