147.78.0.186:2053#AE [156.56ms | 0.0Mbps]
80.227.252.11:8443#AE [159.81ms | 0.0Mbps]
147.78.0.186:8443#AE [160.98ms | 0.0Mbps]
188.208.110.30:443#AE [164.8ms | 0.0Mbps]
176.97.78.80:8443#AE [229.0ms | 0.0Mbps]
176.97.66.175:443#AE [232.55ms | 0.0Mbps]
109.61.42.37:443#AE [383.74ms | 0.0Mbps]
193.123.74.174:8443#AE [1210.14ms | 0.0Mbps]
90.156.220.194:2053#AE [1238.73ms | 0.0Mbps]
185.75.243.102:443#AL [262.53ms | 0.0Mbps]
193.108.112.212:443#AL [1134.33ms | 0.0Mbps]
193.108.112.65:443#AL [1165.04ms | 0.0Mbps]
2.56.204.246:443#AM [1323.3ms | 0.0Mbps]
91.198.108.191:443#AM [1377.86ms | 0.0Mbps]
152.53.44.234:2053#AT [204.33ms | 0.0Mbps]
130.195.222.215:443#AT [224.23ms | 0.0Mbps]
132.243.203.234:8443#AT [224.87ms | 0.0Mbps]
132.243.245.245:443#AT [225.43ms | 0.0Mbps]
132.243.203.227:8443#AT [226.42ms | 0.0Mbps]
92.112.48.142:8443#AT [229.03ms | 0.0Mbps]
132.243.203.244:8443#AT [229.62ms | 0.0Mbps]
132.243.203.112:8443#AT [232.26ms | 0.0Mbps]
132.243.203.230:8443#AT [234.49ms | 0.0Mbps]
132.243.203.238:8443#AT [234.62ms | 0.0Mbps]
176.97.68.17:443#AU [393.15ms | 0.0Mbps]
123.51.23.113:443#AU [423.25ms | 0.0Mbps]
51.161.197.128:443#AU [428.87ms | 0.0Mbps]
125.7.24.251:443#AU [512.49ms | 0.0Mbps]
192.9.175.224:443#AU [1111.63ms | 0.0Mbps]
170.64.232.210:443#AU [1288.86ms | 0.0Mbps]
170.64.175.13:443#AU [1293.38ms | 0.0Mbps]
170.64.245.159:443#AU [1302.48ms | 0.0Mbps]
172.236.62.238:443#AU [1303.14ms | 0.0Mbps]
170.64.237.192:443#AU [1308.1ms | 0.0Mbps]
188.190.26.243:443#BE [205.5ms | 0.0Mbps]
95.139.91.132:443#BE [256.57ms | 0.0Mbps]
104.155.124.198:443#BE [1290.52ms | 0.0Mbps]
94.156.35.128:2053#BG [204.77ms | 0.0Mbps]
185.141.61.113:2053#BG [213.51ms | 0.0Mbps]
94.72.140.210:443#BG [237.63ms | 0.0Mbps]
91.215.154.88:443#BG [260.47ms | 0.0Mbps]
91.215.153.44:443#BG [264.68ms | 0.0Mbps]
185.82.218.224:8443#BG [267.11ms | 0.0Mbps]
185.177.59.153:2053#BG [270.36ms | 0.0Mbps]
108.165.233.223:443#BG [278.32ms | 0.0Mbps]
185.203.119.221:2053#BG [282.97ms | 0.0Mbps]
104.152.48.205:8443#BG [286.01ms | 0.0Mbps]
146.235.59.153:2053#BR [318.41ms | 0.0Mbps]
147.45.116.9:443#BR [320.37ms | 0.0Mbps]
152.67.41.217:443#BR [320.61ms | 0.0Mbps]
146.235.59.153:8443#BR [329.75ms | 0.0Mbps]
132.226.163.224:8443#BR [329.96ms | 0.0Mbps]
132.226.163.224:2053#BR [1338.9ms | 0.0Mbps]
185.66.71.149:2053#BY [254.99ms | 0.0Mbps]
93.85.88.60:2053#BY [1209.62ms | 0.0Mbps]
93.85.88.60:8443#BY [1226.88ms | 0.0Mbps]
167.160.190.137:443#CA [195.95ms | 0.0Mbps]
165.227.42.240:443#CA [203.77ms | 0.0Mbps]
155.138.128.23:443#CA [205.26ms | 0.0Mbps]
147.182.144.228:443#CA [218.15ms | 0.0Mbps]
138.197.161.103:443#CA [236.89ms | 0.0Mbps]
142.4.215.110:443#CA [239.59ms | 0.0Mbps]
146.190.255.153:443#CA [251.88ms | 0.0Mbps]
68.183.207.130:443#CA [252.12ms | 0.0Mbps]
178.128.227.189:443#CA [257.57ms | 0.0Mbps]
104.223.62.204:443#CA [260.55ms | 0.0Mbps]
132.243.161.155:2053#CH [187.55ms | 0.0Mbps]
185.237.225.47:443#CH [190.09ms | 0.0Mbps]
146.70.233.25:443#CH [209.55ms | 0.0Mbps]
146.70.71.157:443#CH [220.06ms | 0.0Mbps]
103.63.30.73:443#CH [241.6ms | 0.0Mbps]
152.67.68.62:8443#CH [247.29ms | 0.0Mbps]
167.17.183.171:443#CH [247.69ms | 0.0Mbps]
167.17.181.72:443#CH [250.77ms | 0.0Mbps]
152.67.64.55:443#CH [253.06ms | 0.0Mbps]
167.17.183.184:443#CH [257.54ms | 0.0Mbps]
64.176.10.195:443#CL [380.9ms | 0.0Mbps]
64.176.11.9:8443#CL [381.53ms | 0.0Mbps]
185.205.187.139:443#CY [1293.44ms | 0.0Mbps]
193.201.15.39:443#CY [1337.01ms | 0.0Mbps]
193.42.108.114:443#CY [1392.76ms | 0.0Mbps]
